时间,门店代码,门店名称,省,市,区,门店类型,门店级别,门店状态,开店日期,二级渠道,门店面积,客流量,客单价,转化率,GMV,grade,二级渠道Type,门店级别Type,门店类型Type,Date,year,month,销售时长,修正转化率,开店时长,binned_data
2024年1月,JM19615,小米之家广东惠州惠东县天虹购物中心专卖店,广东,惠州市,惠东县,专卖店,体验店-B1,营业中,2022/7/12,米家专卖店,84,4745,1591.71,9.93,735593.42,B,2,8,2,2024/1/1,2024,1,0.24,9.93,1.72,Low
2023年1月,JM19615,小米之家广东惠州惠东县天虹购物中心专卖店,广东,惠州市,惠东县,专卖店,体验店-B1,营业中,2022/7/12,米家专卖店,84,4242,1406.28,6.74,394625.63,B,2,8,2,2023/1/1,2023,1,1.24,6.74,1.72,Low
2024年3月,JM19615,小米之家广东惠州惠东县天虹购物中心专卖店,广东,惠州市,惠东县,专卖店,体验店-B1,营业中,2022/7/12,米家专卖店,84,4787,1216.7,7.92,441322.04,B,2,8,2,2024/3/1,2024,3,0.08,7.92,1.72,Low
2023年3月,JM19615,小米之家广东惠州惠东县天虹购物中心专卖店,广东,惠州市,惠东县,专卖店,体验店-B1,营业中,2022/7/12,米家专卖店,84,2330,1243.34,8.88,233680.71,B,2,8,2,2023/3/1,2023,3,1.08,8.88,1.72,Low
2023年8月,JM19615,小米之家广东惠州惠东县天虹购物中心专卖店,广东,惠州市,惠东县,专卖店,体验店-B1,营业中,2022/7/12,米家专卖店,84,4600,1105.48,7.41,365231.09,B,2,8,2,2023/8/1,2023,8,0.66,7.41,1.72,Low
2023年9月,JM19615,小米之家广东惠州惠东县天虹购物中心专卖店,广东,惠州市,惠东县,专卖店,体验店-B1,营业中,2022/7/12,米家专卖店,84,4270,866.42,8.24,303495.06,B,2,8,2,2023/9/1,2023,9,0.58,8.24,1.72,Low
2023年11月,JM19615,小米之家广东惠州惠东县天虹购物中心专卖店,广东,惠州市,惠东县,专卖店,体验店-B1,营业中,2022/7/12,米家专卖店,84,5089,1542.49,6.46,504278.18,B,2,8,2,2023/11/1,2023,11,0.41,6.46,1.72,Low
2023年12月,JM19615,小米之家广东惠州惠东县天虹购物中心专卖店,广东,惠州市,惠东县,专卖店,体验店-B1,营业中,2022/7/12,米家专卖店,84,5215,1479.38,9.11,701866.15,B,2,8,2,2023/12/1,2023,12,0.33,9.11,1.72,Low
2023年8月,JM11755,小米之家广东惠州惠阳区大亚湾万达广场专卖店,广东,惠州市,惠阳区,专卖店,A-形象店-MES Plus,营业中,2020/10/1,米家专卖店,154,21592,1184.23,5.45,1360521.55,B,2,5,2,2023/8/1,2023,8,0.66,5.45,3.5,Low
2023年6月,JM11755,小米之家广东惠州惠阳区大亚湾万达广场专卖店,广东,惠州市,惠阳区,专卖店,A-形象店-MES Plus,营业中,2020/10/1,米家专卖店,154,16092,1760.71,7.84,2234077.46,B,2,5,2,2023/6/1,2023,6,0.83,7.84,3.5,Low
2024年2月,JM11755,小米之家广东惠州惠阳区大亚湾万达广场专卖店,广东,惠州市,惠阳区,专卖店,A-形象店-MES Plus,营业中,2020/10/1,米家专卖店,154,21523,1271.13,7.24,1937162.71,B,2,5,2,2024/2/1,2024,2,0.16,7.24,3.5,Low
2024年1月,JM11755,小米之家广东惠州惠阳区大亚湾万达广场专卖店,广东,惠州市,惠阳区,专卖店,A-形象店-MES Plus,营业中,2020/10/1,米家专卖店,154,19522,1577.37,6.13,1843187.72,B,2,5,2,2024/1/1,2024,1,0.24,6.13,3.5,Low
2023年3月,JM11755,小米之家广东惠州惠阳区大亚湾万达广场专卖店,广东,惠州市,惠阳区,专卖店,A-形象店-MES Plus,营业中,2020/10/1,米家专卖店,154,12165,1167.57,7.35,1020052.39,B,2,5,2,2023/3/1,2023,3,1.08,7.35,3.5,Low
2023年12月,JM11755,小米之家广东惠州惠阳区大亚湾万达广场专卖店,广东,惠州市,惠阳区,专卖店,A-形象店-MES Plus,营业中,2020/10/1,米家专卖店,154,22520,1814.37,5.41,2194342.6,B,2,5,2,2023/12/1,2023,12,0.33,5.41,3.5,Low
2023年10月,JM11755,小米之家广东惠州惠阳区大亚湾万达广场专卖店,广东,惠州市,惠阳区,专卖店,A-形象店-MES Plus,营业中,2020/10/1,米家专卖店,154,21708,1397.02,5.5,1658364.48,B,2,5,2,2023/10/1,2023,10,0.5,5.5,3.5,Low
2023年5月,JM11755,小米之家广东惠州惠阳区大亚湾万达广场专卖店,广东,惠州市,惠阳区,专卖店,A-形象店-MES Plus,营业中,2020/10/1,米家专卖店,154,14881,1443.8,6.4,1356690.11,B,2,5,2,2023/5/1,2023,5,0.92,6.4,3.5,Low
2023年7月,JM11755,小米之家广东惠州惠阳区大亚湾万达广场专卖店,广东,惠州市,惠阳区,专卖店,A-形象店-MES Plus,营业中,2020/10/1,米家专卖店,154,19666,1999.59,7.96,3114128.8,B,2,5,2,2023/7/1,2023,7,0.75,7.96,3.5,Low
2023年11月,JM11755,小米之家广东惠州惠阳区大亚湾万达广场专卖店,广东,惠州市,惠阳区,专卖店,A-形象店-MES Plus,营业中,2020/10/1,米家专卖店,154,21899,1950.19,5.9,3071449.9,B,2,5,2,2023/11/1,2023,11,0.41,5.9,3.5,Low
2024年3月,JM20888,小米之家广东佛山顺德区欢乐海岸PLUS专卖店,广东,佛山市,顺德区,专卖店,体验店-B1,营业中,2024/2/7,米家专卖店,103,7159,819.65,6.16,354558.12,B,2,8,2,2024/3/1,2024,3,0.08,6.16,0.14,Low
